DATE,B187RG3A086NBEA
1967-01-01,28.818
1968-01-01,29.258
1969-01-01,30.156
1970-01-01,32.313
1971-01-01,33.869
1972-01-01,36.564
1973-01-01,42.731
1974-01-01,53.878
1975-01-01,59.414
1976-01-01,60.242
1977-01-01,66.007
1978-01-01,72.053
1979-01-01,79.887
1980-01-01,90.27
1981-01-01,92.702
1982-01-01,90.4
1983-01-01,88.249
1984-01-01,87.555
1985-01-01,84.418
1986-01-01,89.473
1987-01-01,94.674
1988-01-01,101.595
1989-01-01,102.846
1990-01-01,102.443
1991-01-01,102.605
1992-01-01,102.513
1993-01-01,102.198
1994-01-01,103.643
1995-01-01,105.715
1996-01-01,101.172
1997-01-01,97.102
1998-01-01,93.544
1999-01-01,91.98
2000-01-01,92.727
2001-01-01,91.511
2002-01-01,89.57
2003-01-01,89.829
2004-01-01,91.768
2005-01-01,93.819
2006-01-01,94.571
2007-01-01,96.152
2008-01-01,100.356
2009-01-01,95.656
2010-01-01,97.145
2011-01-01,100.431
2012-01-01,100.0
2013-01-01,98.772
2014-01-01,98.159
2015-01-01,94.845
2016-01-01,92.564
2017-01-01,93.037
2018-01-01,93.718
2019-01-01,92.248
2020-01-01,91.919
2021-01-01,96.26
2022-01-01,101.008
